Species;link
Slowpoke;https://pokejungle.net/sprites/normal/0079.png
Slowbro;https://pokejungle.net/sprites/normal/0080.png
Slowking;https://pokejungle.net/sprites/normal/0199.png
Carvanha;https://pokejungle.net/sprites/normal/0318.png
Sharpedo;https://pokejungle.net/sprites/normal/0319.png
Tynamo;https://pokejungle.net/sprites/normal/0602.png
Eelektrik;https://pokejungle.net/sprites/normal/0603.png
Eelektross;https://pokejungle.net/sprites/normal/0604.png
Dratini;https://pokejungle.net/sprites/normal/0147.png
Dragonair;https://pokejungle.net/sprites/normal/0148.png
Dragonite;https://pokejungle.net/sprites/normal/0149.png
Bulbasaur;https://pokejungle.net/sprites/normal/0001.png
Ivysaur;https://pokejungle.net/sprites/normal/0002.png
Venusaur;https://pokejungle.net/sprites/normal/0003.png
Charmander;https://pokejungle.net/sprites/normal/0004.png
Charmeleon;https://pokejungle.net/sprites/normal/0005.png
Charizard;https://pokejungle.net/sprites/normal/0006.png
Squirtle;https://pokejungle.net/sprites/normal/0007.png
Wartortle;https://pokejungle.net/sprites/normal/0008.png
Blastoise;https://pokejungle.net/sprites/normal/0009.png
Stunfisk;https://pokejungle.net/sprites/normal/0618.png
Delibird;https://pokejungle.net/sprites/normal/0225.png
Snorunt;https://pokejungle.net/sprites/normal/0361.png
Glalie;https://pokejungle.net/sprites/normal/0362.png
Froslass;https://pokejungle.net/sprites/normal/0478.png
Snover;https://pokejungle.net/sprites/normal/0459.png
Abomasnow;https://pokejungle.net/sprites/normal/0460.png
Scyther;https://pokejungle.net/sprites/normal/0123.png
Scizor;https://pokejungle.net/sprites/normal/0212.png
Pinsir;https://pokejungle.net/sprites/normal/0127.png
Heracross;https://pokejungle.net/sprites/normal/0214.png
Emolga;https://pokejungle.net/sprites/normal/0587.png
Scraggy;https://pokejungle.net/sprites/normal/0559.png
Scrafty;https://pokejungle.net/sprites/normal/0560.png
Litwick;https://pokejungle.net/sprites/normal/0607.png
Lampent;https://pokejungle.net/sprites/normal/0608.png
Chandelure;https://pokejungle.net/sprites/normal/0609.png
Aerodactyl;https://pokejungle.net/sprites/normal/0142.png
Onix;https://pokejungle.net/sprites/normal/0095.png
Steelix;https://pokejungle.net/sprites/normal/0208.png
Aron;https://pokejungle.net/sprites/normal/0304.png
Lairon;https://pokejungle.net/sprites/normal/0305.png
Aggron;https://pokejungle.net/sprites/normal/0306.png
Larvitar;https://pokejungle.net/sprites/normal/0246.png
Pupitar;https://pokejungle.net/sprites/normal/0247.png
Tyranitar;https://pokejungle.net/sprites/normal/0248.png
Froakie;https://pokejungle.net/sprites/normal/0656.png
Frogadier;https://pokejungle.net/sprites/normal/0657.png
Greninja;https://pokejungle.net/sprites/normal/0658.png
Chespin;https://pokejungle.net/sprites/normal/0650.png
Quilladin;https://pokejungle.net/sprites/normal/0651.png
Chesnaught;https://pokejungle.net/sprites/normal/0652.png
Skarmory;https://pokejungle.net/sprites/normal/0227.png
Fennekin;https://pokejungle.net/sprites/normal/0653.png
Braixen;https://pokejungle.net/sprites/normal/0654.png
Delphox;https://pokejungle.net/sprites/normal/0655.png
Bagon;https://pokejungle.net/sprites/normal/0371.png
Shelgon;https://pokejungle.net/sprites/normal/0372.png
Salamence;https://pokejungle.net/sprites/normal/0373.png
Kangaskhan;https://pokejungle.net/sprites/normal/0115.png
Beldum;https://pokejungle.net/sprites/normal/0374.png
Metang;https://pokejungle.net/sprites/normal/0375.png
Metagross;https://pokejungle.net/sprites/normal/0376.png
